year,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,population,renewables_consumption,solar_consumption,gdp,wind_consumption
1900,,,,,,,,,,9926632,,,,
1901,,,,,,,,,,9939897,,,,
1902,,,,,,,,,,9951316,,,,
1903,,,,,,,,,,9968114,,,,
1904,,,,,,,,,,9986613,,,,
1905,,,,,,,,,,10006818,,,,
1906,,,,,,,,,,10027064,,,,
1907,,,,,,,,,,10047258,,,,
1908,,,,,,,,,,10067585,,,,
1909,,,,,,,,,,10116344,,,,
1910,,,,,,,,,,10193928,,,,
1911,,,,,,,,,,10271398,,,6636925952,
1912,,,,,,,,,,10436148,,,6982739968,
1913,,,,,,,,,,10605243,,,7306409984,
1914,,,,,,,,,,10768670,,,7707023872,
1915,,,,,,,,,,10934775,,,9077952512,
1916,,,,,,,,,,11101554,,,8968573952,
1917,,,,,,,,,,11279354,,,10001544192,
1918,,,,,,,,,,11459856,,,10870849536,
1919,,,,,,,,,,11640434,,,11673507840,
1920,,,,,,,,,,11839704,,,10234067968,
1921,,,,,,,,,,12057999,,,11173120000,
1922,,,,,,,,,,12298992,,,10389726208,
1923,,,,,,,,,,12544992,,,11248348160,
1924,,,,,,,,,,12786653,,,11448192000,
1925,,,,,,,,,,13004615,,,11561445376,
1926,,,,,,,,,,13197877,,,12058784768,
1927,,,,,,,,,,13374783,,,12634775552,
1928,,,,,,,,,,13554026,,,12790575104,
1929,,,,,,,,,,13735605,,,12179808256,
1930,,,,,,,,,,13929868,,,11578699776,
1931,,,,,,,,,,14137483,,,11731226624,
1932,,,,,,,,,,14358449,,,11828849664,
1933,,,,,,,,,,14582752,,,14416379904,
1934,,,,,,,,,,14810394,,,14508009472,
1935,,,,,,,,,,15002988,,,15951240192,
1936,,,,,,,,,,15160201,,,17182765056,
1937,,,,,,,,,,15280698,,,18739279872,
1938,,,,,,,,,,15402530,,,19472345088,
1939,,,,,,,,,,15525029,,,17364480000,
1940,,,,,,,,,,15684578,,,19346225152,
1941,,,,,,,,,,15881512,,,,
1942,,,,,,,,,,16116830,,,,
1943,,,,,,,,,,16355487,,,,
1944,,,,,,,,,,16618323,,,,
1945,,,,,,,,,,17258364,,,,
1946,,,,,,,,,,17980220,,,,
1947,,,,,,,,,,18643800,,,,
1948,,,,,,,,,,18907660,,,,
1949,,,,,,,,,,19066124,,,,
1950,,,,,,,,,,19211000,,,23389212672,
1951,,,,,,,,,,19453000,,,21481404416,
1952,,,,,,,,,,19818000,,,22749528064,
1953,,,,,,,,,,20293000,,,29168099328,
1954,,,,,,,,,,20864000,,,30060226560,
1955,,,,,,,,,,21515000,,,32198688768,
1956,,,,,,,,,,22227000,,,31394174976,
1957,,,,,,,,,,22984000,,,33510983680,
1958,,,,,,,,,,23766000,,,35113541632,
1959,,,,,,,,,,24553000,,,36235292672,
1960,,,,,,,,,,25330000,,,36853809152,
1961,,,,,,,,,,26084000,,,39112577024,
1962,,,,,,,,,,26812000,,,41558659072,
1963,,,,,,,,,,27518000,,,44571619328,
1964,,,,,,,,,,28210000,,,47348928512,
1965,,,,,,,,,,28896000,1.973,0,49085550592,0
1966,,,,,,,,,,29573000,2.737,0,55045320704,0
1967,,,,,,,,,,30237000,2.648,0,59117023232,0
1968,,,,,,,,,,30892000,2.582,0,67535220736,0
1969,,,,,,,,,,31544000,3.968,0,77535150080,0
1970,,,,,,,,,,32196000,3.391,0,82794889216,0
1971,,,,,,,,,,32851000,3.667,0,96577372160,0
1972,,,,,,,,,,33507000,3.8,0,1.10E+11,0
1973,,,,,,,,,,34154000,3.568,0,1.36E+11,0
1974,,,,,,,,,,34781000,5.294,0,1.60E+11,0
1975,,,,,,,,,,35379000,4.674,0,1.82E+11,0
1976,,,,,,,,,,35942000,4.969,0,1.96E+11,0
1977,0,113.718,337.328,0,3.869,4.067,0.199,223.61,0,36475000,3.869,0,2.09E+11,0
1978,0,115.067,370.765,0,5.021,11.478,6.457,255.698,0,36992000,5.021,0,2.26E+11,0
1979,0,137.734,425.419,0,6.378,15.134,8.755,287.685,0,37511000,6.378,0,2.33E+11,0
1980,0,153.504,438.487,0,5.334,14.993,9.659,284.983,0,38046000,5.334,0,2.15E+11,0
1981,0,177.29,459.437,0,7.216,15.264,8.048,282.147,0,38602000,7.216,0,2.26E+11,0
1982,0,179.691,459.759,0,4.765,15.257,10.492,280.069,0,39175000,4.765,0,2.43E+11,0
1983,0,191.792,484.823,0,6.373,31.276,24.903,293.031,0,39748000,6.373,0,2.68E+11,0
1984,0,231.053,525.344,0,5.55,38.306,32.756,294.291,0,40296000,5.55,0,2.88E+11,0
